,src,dst
0,0,37
1,0,136
2,1,34
3,1,59
4,1,85
5,1,97
6,1,102
7,2,34
8,3,19
9,3,48
10,3,76
11,4,94
12,5,50
13,5,69
14,5,100
15,5,111
16,5,123
17,5,132
18,5,137
19,6,8
20,6,30
21,6,36
22,6,55
23,6,86
24,6,119
25,6,125
26,7,93
27,7,117
28,8,6
29,8,30
30,8,36
31,8,52
32,8,75
33,8,95
34,8,119
35,8,141
36,9,22
37,9,26
38,9,91
39,9,122
40,10,11
41,10,78
42,10,88
43,10,103
44,10,116
45,10,134
46,11,10
47,11,78
48,11,88
49,11,103
50,11,116
51,11,134
52,12,139
53,13,32
54,13,70
55,13,78
56,13,103
57,13,120
58,13,135
59,15,60
60,15,103
61,16,80
62,16,126
63,17,118
64,18,24
65,19,3
66,19,26
67,19,76
68,20,36
69,20,37
70,20,75
71,20,129
72,21,92
73,22,9
74,22,26
75,22,33
76,22,50
77,22,91
78,22,100
79,22,137
80,23,116
81,24,18
82,24,31
83,25,105
84,26,9
85,26,19
86,26,22
87,26,91
88,27,98
89,28,46
90,28,136
91,29,41
92,29,113
93,29,126
94,29,130
95,30,6
96,30,8
97,30,36
98,30,86
99,30,119
100,30,125
101,31,24
102,32,13
103,32,43
104,32,120
105,33,22
106,33,50
107,33,62
108,33,66
109,33,91
110,33,100
111,33,111
112,33,122
113,33,126
114,33,127
115,33,130
116,34,1
117,34,2
118,34,59
119,34,102
120,36,6
121,36,8
122,36,20
123,36,30
124,36,37
125,36,58
126,36,75
127,36,110
128,36,119
129,37,0
130,37,20
131,37,36
132,37,75
133,37,129
134,38,44
135,38,54
136,38,88
137,38,90
138,38,131
139,38,134
140,40,66
141,41,29
142,42,45
143,43,32
144,44,38
145,44,54
146,44,90
147,44,131
148,45,42
149,46,28
150,46,136
151,48,3
152,48,55
153,48,76
154,48,82
155,48,86
156,48,125
157,50,5
158,50,22
159,50,33
160,50,91
161,50,100
162,50,111
163,50,130
164,50,132
165,50,139
166,52,8
167,52,55
168,52,95
169,52,141
170,53,74
171,54,38
172,54,44
173,54,90
174,54,114
175,54,131
176,55,6
177,55,48
178,55,52
179,55,82
180,55,86
181,55,95
182,55,119
183,55,125
184,55,141
185,58,36
186,58,110
187,59,1
188,59,34
189,59,85
190,59,97
191,59,102
192,60,15
193,60,116
194,62,33
195,62,66
196,62,127
197,63,90
198,63,114
199,63,131
200,63,134
201,64,88
202,64,103
203,64,114
204,64,134
205,65,78
206,65,93
207,65,117
208,65,128
209,65,135
210,66,33
211,66,40
212,66,62
213,67,100
214,68,108
215,69,5
216,69,100
217,69,123
218,69,137
219,70,13
220,70,94
221,70,120
