,src,dst
0,0,136
1,0,37
2,0,75
3,0,110
4,0,6
5,1,102
6,1,59
7,1,34
8,1,85
9,1,97
10,2,34
11,2,102
12,2,129
13,2,37
14,2,1
15,3,76
16,3,19
17,3,48
18,3,89
19,3,82
20,4,94
21,4,121
22,4,114
23,4,63
24,4,70
25,5,111
26,5,123
27,5,137
28,5,100
29,5,69
30,6,119
31,6,30
32,6,8
33,6,86
34,6,125
35,7,117
36,7,93
37,7,135
38,7,65
39,7,78
40,8,30
41,8,119
42,8,6
43,8,36
44,8,75
45,9,26
46,9,22
47,9,91
48,9,122
49,9,33
50,10,11
51,10,88
52,10,134
53,10,78
54,10,116
55,11,10
56,11,134
57,11,78
58,11,103
59,11,88
60,12,139
61,12,132
62,12,130
63,12,50
64,12,106
65,13,32
66,13,120
67,13,103
68,13,78
69,13,70
70,14,140
71,14,96
72,14,83
73,14,115
74,14,47
75,15,103
76,15,60
77,15,112
78,15,116
79,15,13
80,16,126
81,16,80
82,16,113
83,16,127
84,16,122
85,17,118
86,17,139
87,17,108
88,17,33
89,17,66
90,18,24
91,18,31
92,18,81
93,18,47
94,18,140
95,19,3
96,19,26
97,19,76
98,19,9
99,19,22
100,20,75
101,20,37
102,20,129
103,20,36
104,20,58
105,21,92
106,21,71
107,21,109
108,21,101
109,21,81
110,22,26
111,22,9
112,22,50
113,22,91
114,22,33
115,23,116
116,23,10
117,23,11
118,23,88
119,23,103
120,24,18
121,24,31
122,24,115
123,24,83
124,24,96
125,25,105
126,25,121
127,25,77
128,25,4
129,25,114
130,26,9
131,26,22
132,26,91
133,26,19
134,26,122
135,27,98
136,27,73
137,27,23
138,27,93
139,27,72
140,28,46
141,28,136
142,28,40
143,28,6
144,28,124
145,29,41
146,29,130
147,29,113
148,29,126
149,29,22
150,30,119
151,30,8
152,30,6
153,30,36
154,30,125
155,31,24
156,31,18
157,31,81
158,31,47
159,31,35
160,32,120
161,32,13
162,32,43
163,32,65
164,32,35
165,33,50
166,33,91
167,33,62
168,33,127
169,33,130
170,34,102
171,34,1
172,34,2
173,34,59
174,34,85
175,35,120
176,35,70
177,35,32
178,35,13
179,35,43
180,36,58
181,36,119
182,36,8
183,36,30
184,36,110
185,37,75
186,37,20
187,37,0
188,37,36
189,37,129
190,38,131
191,38,90
192,38,44
193,38,54
194,38,88
195,39,89
196,39,82
197,39,110
198,39,55
199,39,125
200,40,66
201,40,136
202,40,62
203,40,28
204,40,6
205,41,29
206,41,113
207,41,126
208,41,22
209,41,130
210,42,45
211,42,2
212,42,34
213,42,84
214,42,107
215,43,32
216,43,13
217,43,120
218,43,35
219,43,135
220,44,131
221,44,38
222,44,90
223,44,54
224,44,64
225,45,42
226,45,79
227,45,34
228,45,2
229,45,97
230,46,28
231,46,136
232,46,124
233,46,0
234,46,58
235,47,81
236,47,140
237,47,101
238,47,96
239,47,115
240,48,82
241,48,76
242,48,55
243,48,125
244,48,3
245,49,74
246,49,61
247,49,87
248,49,138
249,49,53
250,50,33
251,50,132
252,50,100
253,50,111
254,50,91
255,51,60
256,51,112
257,51,98
258,51,27
259,51,72
260,52,141
261,52,95
262,52,8
263,52,55
264,52,119
265,53,74
266,53,49
267,53,61
268,53,87
269,53,138
270,54,90
271,54,131
272,54,38
273,54,44
274,54,114
275,55,125
276,55,82
277,55,95
278,55,48
279,55,141
280,56,124
281,56,28
282,56,136
283,56,48
284,56,6
285,57,73
286,57,128
287,57,117
288,57,7
289,57,93
290,58,36
291,58,110
292,58,37
293,58,20
294,58,136
295,59,1
296,59,102
297,59,34
298,59,85
299,59,97
300,60,116
301,60,15
302,60,103
303,60,13
304,60,23
305,61,87
306,61,97
307,61,85
308,61,74
309,61,49
310,62,127
311,62,33
312,62,66
313,62,50
314,62,119
315,63,90
316,63,114
317,63,131
318,63,134
319,63,88
320,64,103
321,64,88
322,64,134
323,64,114
324,64,38
325,65,135
326,65,128
327,65,117
328,65,78
329,65,93
330,66,40
331,66,62
332,66,33
333,66,111
334,66,50
335,67,100
336,67,69
337,67,137
338,67,5
339,67,50
340,68,108
341,68,79
342,68,34
343,68,118
344,68,59
345,69,123
346,69,137
347,69,5
348,69,100
349,69,67
350,70,94
351,70,13
352,70,120
353,70,78
354,70,103
355,71,92
356,71,21
357,71,73
358,71,99
359,71,27
360,72,112
361,72,133
362,72,15
363,72,23
364,72,27
365,73,27
366,73,99
367,73,98
368,73,93
369,73,71
370,74,53
371,74,49
372,74,61
373,74,87
374,74,138
375,75,37
376,75,20
377,75,8
378,75,36
379,75,119
380,76,3
381,76,48
382,76,82
383,76,19
384,76,89
385,77,94
386,77,4
387,77,121
388,77,114
389,77,54
390,78,11
391,78,134
392,78,10
393,78,13
394,78,103
395,79,68
396,79,42
397,79,34
398,79,59
399,79,1
400,80,126
401,80,16
402,80,127
403,80,113
404,80,41
405,81,47
406,81,109
407,81,18
408,81,96
409,81,83
410,82,48
411,82,55
412,82,125
413,82,86
414,82,76
415,83,96
416,83,115
417,83,14
418,83,112
419,83,81
420,84,107
421,84,2
422,84,113
423,84,42
424,84,34
425,85,102
426,85,1
427,85,97
428,85,59
429,85,34
430,86,137
431,86,82
432,86,119
433,86,6
434,86,125
435,87,61
436,87,58
437,87,102
438,87,129
439,87,85
440,88,134
441,88,10
442,88,11
443,88,38
444,88,131
445,89,82
446,89,76
447,89,86
448,89,3
449,89,39
450,90,131
451,90,38
452,90,54
453,90,44
454,90,63
455,91,122
456,91,33
457,91,50
458,91,9
459,91,26
460,92,71
461,92,21
462,92,109
463,92,101
464,92,99
465,93,117
466,93,7
467,93,135
468,93,65
469,93,78
470,94,70
471,94,4
472,94,114
473,94,54
474,94,103
475,95,141
476,95,52
477,95,55
478,95,8
479,95,125
480,96,115
481,96,83
482,96,14
483,96,81
484,96,47
485,97,85
486,97,59
487,97,1
488,97,102
489,97,34
490,98,27
491,98,135
492,98,93
493,98,70
494,98,103
495,99,73
496,99,135
497,99,65
498,99,70
499,99,93
500,100,132
501,100,50
502,100,111
503,100,5
504,100,67
505,101,21
506,101,47
507,101,109
508,101,81
509,101,92
510,102,1
511,102,59
512,102,34
513,102,85
514,102,97
515,103,11
516,103,134
517,103,13
518,103,116
519,103,78
520,104,129
521,104,2
522,104,20
523,104,37
524,104,34
525,105,25
526,105,121
527,105,4
528,105,77
529,105,114
530,106,139
531,106,111
532,106,66
533,106,118
534,106,132
535,107,84
536,107,113
537,107,42
538,107,2
539,107,41
540,108,118
541,108,68
542,108,17
543,108,59
544,108,34
545,109,81
546,109,21
547,109,47
548,109,92
549,109,101
550,110,58
551,110,36
552,110,137
553,110,86
554,110,119
555,111,5
556,111,50
557,111,100
558,111,132
559,111,33
560,112,72
561,112,15
562,112,83
563,112,60
564,112,96
565,113,29
566,113,126
567,113,130
568,113,127
569,113,33
570,114,63
571,114,94
572,114,64
573,114,54
574,114,90
575,115,96
576,115,83
577,115,14
578,115,47
579,115,81
580,116,11
581,116,23
582,116,60
583,116,103
584,116,10
585,117,7
586,117,93
587,117,65
588,117,135
589,117,78
590,118,108
591,118,17
592,118,106
593,118,68
594,118,139
595,119,30
596,119,6
597,119,8
598,119,36
599,119,125
600,120,32
601,120,13
602,120,70
603,120,65
604,120,35
605,121,4
606,121,114
607,121,105
608,121,94
609,121,25
610,122,91
611,122,9
612,122,33
613,122,26
614,122,126
615,123,137
616,123,69
617,123,5
618,123,86
619,123,100
620,124,46
621,124,28
622,124,56
623,124,136
624,124,40
625,125,55
626,125,82
627,125,119
628,125,30
629,125,48
630,126,80
631,126,16
632,126,127
633,126,113
634,126,29
635,127,62
636,127,33
637,127,126
638,127,113
639,127,119
640,128,65
641,128,135
642,128,117
643,128,93
644,128,7
645,129,20
646,129,104
647,129,37
648,129,75
649,129,2
650,130,33
651,130,29
652,130,50
653,130,132
654,130,100
655,131,38
656,131,90
657,131,44
658,131,54
659,131,88
660,132,100
661,132,50
662,132,111
663,132,139
664,132,5
665,133,72
666,133,112
667,133,27
668,133,121
669,133,25
670,134,88
671,134,11
672,134,10
673,134,78
674,134,103
675,135,65
676,135,93
677,135,117
678,135,78
679,135,13
680,136,0
681,136,28
682,136,46
683,136,37
684,136,40
685,137,123
686,137,5
687,137,86
688,137,69
689,137,100
690,138,141
691,138,95
692,138,52
693,138,8
694,138,55
695,139,132
696,139,12
697,139,50
698,139,106
699,139,111
700,140,14
701,140,47
702,140,81
703,140,18
704,140,96
705,141,95
706,141,52
707,141,55
708,141,8
709,141,138
