,0,1
0,0,37
1,0,6
2,0,28
3,0,1
4,0,20
5,1,34
6,1,2
7,1,0
8,1,40
9,1,59
10,2,1
11,2,34
12,2,20
13,2,0
14,2,37
15,3,19
16,3,26
17,3,48
18,3,22
19,3,9
20,4,15
21,4,35
22,4,11
23,4,13
24,4,10
25,5,33
26,5,22
27,5,50
28,5,3
29,5,40
30,6,8
31,6,30
32,6,36
33,6,0
34,6,28
35,7,10
36,7,11
37,7,38
38,7,13
39,7,65
40,8,30
41,8,6
42,8,36
43,8,20
44,8,28
45,9,26
46,9,22
47,9,33
48,9,29
49,9,19
50,10,11
51,10,23
52,10,7
53,10,38
54,10,15
55,11,10
56,11,15
57,11,13
58,11,23
59,11,7
60,12,17
61,12,5
62,12,33
63,12,29
64,12,50
65,13,32
66,13,11
67,13,15
68,13,35
69,13,43
70,14,47
71,14,18
72,14,83
73,14,24
74,14,96
75,15,11
76,15,13
77,15,60
78,15,23
79,15,4
80,16,9
81,16,29
82,16,30
83,16,33
84,16,52
85,17,33
86,17,12
87,17,29
88,17,5
89,17,50
90,18,31
91,18,24
92,18,14
93,18,35
94,18,47
95,19,3
96,19,26
97,19,9
98,19,22
99,19,48
100,20,37
101,20,36
102,20,8
103,20,75
104,20,30
105,21,71
106,21,92
107,21,47
108,21,25
109,21,101
110,22,26
111,22,9
112,22,33
113,22,50
114,22,29
115,23,10
116,23,11
117,23,60
118,23,15
119,23,63
120,24,18
121,24,31
122,24,35
123,24,32
124,24,43
125,25,105
126,25,47
127,25,77
128,25,4
129,25,21
130,26,22
131,26,9
132,26,19
133,26,33
134,26,3
135,27,23
136,27,51
137,27,38
138,27,7
139,27,10
140,28,46
141,28,40
142,28,6
143,28,0
144,28,8
145,29,41
146,29,22
147,29,33
148,29,9
149,29,26
150,30,8
151,30,6
152,30,36
153,30,33
154,30,62
155,31,18
156,31,24
157,31,35
158,31,47
159,31,43
160,32,13
161,32,43
162,32,35
163,32,65
164,32,11
165,33,50
166,33,22
167,33,9
168,33,62
169,33,29
170,34,1
171,34,2
172,34,59
173,34,37
174,34,68
175,35,13
176,35,43
177,35,32
178,35,4
179,35,15
180,36,30
181,36,8
182,36,20
183,36,37
184,36,58
185,37,20
186,37,75
187,37,36
188,37,0
189,37,58
190,38,44
191,38,54
192,38,63
193,38,10
194,38,64
195,39,55
196,39,36
197,39,48
198,39,82
199,39,89
200,40,28
201,40,66
202,40,62
203,40,46
204,40,6
205,41,29
206,41,22
207,41,33
208,41,26
209,41,80
210,42,45
211,42,34
212,42,2
213,42,79
214,42,68
215,43,32
216,43,35
217,43,13
218,43,65
219,43,60
220,44,38
221,44,54
222,44,63
223,44,64
224,44,90
225,45,42
226,45,34
227,45,53
228,45,61
229,45,79
230,46,28
231,46,40
232,46,58
233,46,0
234,46,56
235,47,81
236,47,14
237,47,31
238,47,18
239,47,101
240,48,82
241,48,76
242,48,55
243,48,3
244,48,86
245,49,74
246,49,61
247,49,56
248,49,87
249,49,39
250,50,33
251,50,22
252,50,62
253,50,91
254,50,66
255,51,60
256,51,27
257,51,15
258,51,13
259,51,23
260,52,55
261,52,95
262,52,30
263,52,36
264,52,75
265,53,74
266,53,61
267,53,45
268,53,49
269,53,42
270,54,38
271,54,90
272,54,44
273,54,63
274,54,64
275,55,82
276,55,48
277,55,52
278,55,95
279,55,86
280,56,48
281,56,28
282,56,82
283,56,46
284,56,55
285,57,7
286,57,73
287,57,93
288,57,38
289,57,27
290,58,36
291,58,37
292,58,75
293,58,85
294,58,20
295,59,85
296,59,34
297,59,68
298,59,102
299,59,97
300,60,15
301,60,23
302,60,51
303,60,13
304,60,116
305,61,97
306,61,87
307,61,74
308,61,85
309,61,79
310,62,66
311,62,33
312,62,50
313,62,30
314,62,86
315,63,38
316,63,54
317,63,90
318,63,88
319,63,44
320,64,88
321,64,103
322,64,78
323,64,38
324,64,65
325,65,78
326,65,93
327,65,117
328,65,70
329,65,64
330,66,62
331,66,40
332,66,50
333,66,106
334,66,33
335,67,69
336,67,100
337,67,50
338,67,66
339,67,76
340,68,79
341,68,59
342,68,108
343,68,34
344,68,118
345,69,67
346,69,100
347,69,123
348,69,111
349,69,86
350,70,94
351,70,78
352,70,65
353,70,103
354,70,64
355,71,92
356,71,73
357,71,21
358,71,99
359,71,109
360,72,112
361,72,98
362,72,23
363,72,133
364,72,83
365,73,71
366,73,99
367,73,92
368,73,27
369,73,98
370,74,53
371,74,61
372,74,49
373,74,87
374,74,97
375,75,37
376,75,95
377,75,52
378,75,119
379,75,58
380,76,82
381,76,48
382,76,89
383,76,86
384,76,67
385,77,94
386,77,105
387,77,121
388,77,54
389,77,114
390,78,103
391,78,88
392,78,65
393,78,116
394,78,70
395,79,68
396,79,97
397,79,59
398,79,102
399,79,108
400,80,126
401,80,75
402,80,113
403,80,127
404,80,91
405,81,47
406,81,96
407,81,83
408,81,115
409,81,109
410,82,86
411,82,76
412,82,48
413,82,55
414,82,89
415,83,96
416,83,115
417,83,112
418,83,81
419,83,14
420,84,107
421,84,113
422,84,87
423,84,110
424,84,130
425,85,97
426,85,59
427,85,102
428,85,58
429,85,87
430,86,82
431,86,89
432,86,119
433,86,125
434,86,76
435,87,85
436,87,102
437,87,58
438,87,59
439,87,110
440,88,134
441,88,103
442,88,78
443,88,64
444,88,90
445,89,86
446,89,82
447,89,76
448,89,125
449,89,137
450,90,131
451,90,54
452,90,88
453,90,114
454,90,63
455,91,122
456,91,50
457,91,100
458,91,126
459,91,113
460,92,71
461,92,109
462,92,101
463,92,99
464,92,21
465,93,117
466,93,65
467,93,78
468,93,88
469,93,135
470,94,70
471,94,114
472,94,103
473,94,90
474,94,121
475,95,141
476,95,52
477,95,119
478,95,55
479,95,125
480,96,115
481,96,83
482,96,81
483,96,112
484,96,47
485,97,85
486,97,102
487,97,59
488,97,61
489,97,79
490,98,103
491,98,116
492,98,93
493,98,135
494,98,70
495,99,73
496,99,92
497,99,71
498,99,109
499,99,131
500,100,111
501,100,132
502,100,139
503,100,137
504,100,69
505,101,109
506,101,81
507,101,92
508,101,47
509,101,140
510,102,97
511,102,85
512,102,136
513,102,110
514,102,129
515,103,116
516,103,134
517,103,78
518,103,88
519,103,64
520,104,129
521,104,138
522,104,102
523,104,97
524,104,141
525,105,121
526,105,77
527,105,25
528,105,133
529,105,114
530,106,111
531,106,139
532,106,66
533,106,100
534,106,118
535,107,84
536,107,113
537,107,130
538,107,110
539,107,127
540,108,118
541,108,68
542,108,102
543,108,106
544,108,139
545,109,92
546,109,101
547,109,81
548,109,140
549,109,71
550,110,137
551,110,123
552,110,119
