,dst,src
0,0,76
1,0,110
2,0,103
3,0,48
4,0,30
5,1,15
6,1,2
7,1,4
8,1,105
9,1,121
10,2,1
11,2,15
12,2,121
13,2,105
14,2,115
15,3,19
16,3,67
17,3,82
18,3,9
19,3,26
20,4,1
21,4,133
22,4,15
23,4,47
24,4,105
25,5,137
26,5,123
27,5,82
28,5,110
29,5,56
30,6,110
31,6,82
32,6,137
33,6,55
34,6,125
35,7,98
36,7,117
37,7,90
38,7,131
39,7,128
40,8,30
41,8,141
42,8,37
43,8,119
44,8,80
45,9,50
46,9,91
47,9,26
48,9,19
49,9,6
50,10,60
51,10,11
52,10,112
53,10,23
54,10,116
55,11,112
56,11,72
57,11,10
58,11,60
59,11,83
60,12,102
61,12,66
62,12,130
63,12,41
64,12,113
65,13,120
66,13,64
67,13,32
68,13,65
69,13,93
70,14,17
71,14,36
72,14,139
73,14,106
74,14,118
75,15,1
76,15,121
77,15,114
78,15,2
79,15,4
80,16,50
81,16,9
82,16,95
83,16,55
84,16,119
85,17,127
86,17,139
87,17,36
88,17,118
89,17,20
90,18,115
91,18,35
92,18,81
93,18,109
94,18,70
95,19,3
96,19,9
97,19,67
98,19,26
99,19,82
100,20,36
101,20,80
102,20,108
103,20,17
104,20,127
105,21,109
106,21,79
107,21,101
108,21,71
109,21,27
110,22,113
111,22,130
112,22,126
113,22,66
114,22,29
115,23,78
116,23,116
117,23,134
118,23,60
119,23,63
120,24,31
121,24,132
122,24,96
123,24,83
124,24,32
125,25,129
126,25,34
127,25,104
128,25,84
129,25,107
130,26,91
131,26,9
132,26,122
133,26,19
134,26,67
135,27,71
136,27,79
137,27,133
138,27,114
139,27,21
140,28,46
141,28,69
142,28,110
143,28,40
144,28,119
145,29,89
146,29,86
147,29,22
148,29,52
149,29,113
150,30,37
151,30,110
152,30,119
153,30,8
154,30,95
155,31,24
156,31,132
157,31,96
158,31,32
159,31,83
160,32,13
161,32,65
162,32,120
163,32,132
164,32,93
165,33,127
166,33,139
167,33,100
168,33,122
169,33,111
170,34,59
171,34,25
172,34,85
173,34,129
174,34,107
175,35,70
176,35,115
177,35,18
178,35,81
179,35,135
180,36,20
181,36,17
182,36,8
183,36,80
184,36,127
185,37,119
186,37,30
187,37,8
188,37,110
189,37,28
190,38,92
191,38,71
192,38,99
193,38,27
194,38,57
195,39,138
196,39,58
197,39,87
198,39,85
199,39,136
200,40,28
201,40,100
202,40,110
203,40,8
204,40,69
205,41,102
206,41,126
207,41,130
208,41,113
209,41,140
210,42,68
211,42,84
212,42,45
213,42,25
214,42,107
215,43,135
216,43,98
217,43,54
218,43,70
219,43,117
220,44,54
221,44,131
222,44,90
223,44,98
224,44,114
225,45,42
226,45,68
227,45,104
228,45,129
229,45,25
230,46,28
231,46,69
232,46,37
233,46,40
234,46,119
235,47,4
236,47,105
237,47,1
238,47,115
239,47,133
240,48,76
241,48,0
242,48,49
243,48,56
244,48,103
245,49,76
246,49,48
247,49,0
248,49,103
249,49,56
250,50,9
251,50,16
252,50,6
253,50,91
254,50,26
255,51,135
256,51,35
257,51,70
258,51,109
259,51,128
260,52,138
261,52,29
262,52,126
263,52,113
264,52,58
265,53,61
266,53,68
267,53,107
268,53,42
269,53,74
270,54,44
271,54,131
272,54,90
273,54,98
274,54,135
275,55,95
276,55,125
277,55,82
278,55,6
279,55,110
280,56,82
281,56,5
282,56,76
283,56,0
284,56,103
285,57,92
286,57,99
287,57,117
288,57,128
289,57,98
290,58,87
291,58,94
292,58,39
293,58,85
294,58,59
295,59,85
296,59,34
297,59,94
298,59,58
299,59,87
300,60,116
301,60,10
302,60,93
303,60,13
304,60,11
305,61,87
306,61,107
307,61,73
308,61,25
309,61,84
310,62,111
311,62,100
312,62,5
313,62,123
314,62,40
315,63,134
316,63,78
317,63,64
318,63,13
319,63,23
320,64,13
321,64,88
322,64,120
323,64,134
324,64,93
325,65,88
326,65,78
327,65,13
328,65,32
329,65,93
330,66,130
331,66,102
332,66,12
333,66,22
334,66,113
335,67,111
336,67,3
337,67,19
338,67,26
339,67,122
340,68,42
341,68,45
342,68,107
343,68,25
344,68,102
345,69,28
346,69,46
347,69,40
348,69,123
349,69,119
350,70,135
351,70,35
352,70,98
353,70,99
354,70,77
355,71,27
356,71,21
357,71,92
358,71,38
359,71,99
360,72,112
361,72,11
362,72,83
363,72,60
364,72,10
365,73,136
366,73,61
367,73,94
368,73,87
369,73,59
370,74,87
371,74,73
372,74,61
373,74,39
374,74,136
375,75,80
376,75,30
377,75,141
378,75,37
379,75,8
380,76,48
381,76,0
382,76,56
383,76,49
384,76,30
385,77,70
386,77,2
387,77,1
388,77,114
389,77,92
390,78,134
391,78,88
392,78,93
393,78,65
394,78,116
395,79,21
396,79,101
397,79,133
398,79,4
399,79,71
400,80,141
401,80,8
402,80,20
403,80,75
404,80,36
405,81,35
406,81,70
407,81,18
408,81,43
409,81,135
410,82,55
411,82,125
412,82,6
413,82,56
414,82,110
415,83,96
416,83,112
417,83,11
418,83,72
419,83,132
420,84,107
421,84,25
422,84,41
423,84,87
424,84,59
425,85,59
426,85,58
427,85,34
428,85,87
429,85,129
430,86,89
431,86,29
432,86,94
433,86,58
434,86,87
435,87,58
436,87,39
437,87,94
438,87,84
439,87,59
440,88,78
441,88,65
442,88,93
443,88,64
444,88,134
445,89,86
446,89,29
447,89,22
448,89,94
449,89,113
450,90,131
451,90,44
452,90,98
453,90,54
454,90,7
455,91,122
456,91,26
457,91,9
