,dst,src
0,6.0,0
0,94.0,0
0,136.0,0
1,2.0,1
1,59.0,1
1,85.0,1
1,97.0,1
2,1.0,2
2,34.0,2
3,19.0,3
3,89.0,3
4,15.0,4
4,114.0,4
4,121.0,4
5,28.0,5
5,62.0,5
5,86.0,5
5,111.0,5
5,123.0,5
5,127.0,5
5,137.0,5
6,0.0,6
6,28.0,6
6,30.0,6
6,32.0,6
6,48.0,6
6,86.0,6
6,110.0,6
6,119.0,6
6,141.0,6
7,38.0,7
7,70.0,7
8,30.0,8
8,119.0,8
9,26.0,9
9,91.0,9
10,11.0,10
10,23.0,10
11,10.0,11
11,134.0,11
13,70.0,13
13,98.0,13
15,4.0,15
17,118.0,17
17,139.0,17
19,3.0,19
20,129.0,20
22,33.0,22
23,10.0,23
26,9.0,26
26,50.0,26
26,91.0,26
26,132.0,26
28,5.0,28
28,6.0,28
28,32.0,28
28,50.0,28
28,62.0,28
28,69.0,28
28,86.0,28
28,100.0,28
28,110.0,28
28,119.0,28
28,123.0,28
28,127.0,28
28,136.0,28
28,137.0,28
29,86.0,29
29,100.0,29
29,126.0,29
29,130.0,29
30,6.0,30
30,8.0,30
30,36.0,30
30,75.0,30
30,110.0,30
30,119.0,30
30,125.0,30
32,6.0,32
32,28.0,32
32,43.0,32
32,50.0,32
32,100.0,32
32,137.0,32
33,22.0,33
33,91.0,33
33,126.0,33
33,127.0,33
33,130.0,33
34,2.0,34
34,42.0,34
35,135.0,35
36,30.0,36
36,37.0,36
36,86.0,36
36,110.0,36
37,36.0,37
37,58.0,37
37,75.0,37
37,102.0,37
37,110.0,37
38,7.0,38
38,70.0,38
38,90.0,38
38,114.0,38
39,48.0,39
39,54.0,39
39,76.0,39
39,110.0,39
39,125.0,39
40,66.0,40
40,86.0,40
41,130.0,41
42,34.0,42
42,45.0,42
43,32.0,43
43,100.0,43
45,42.0,45
46,136.0,46
48,6.0,48
48,39.0,48
48,55.0,48
48,56.0,48
48,76.0,48
48,82.0,48
48,95.0,48
48,125.0,48
50,26.0,50
50,28.0,50
50,32.0,50
50,62.0,50
50,66.0,50
50,67.0,50
50,69.0,50
50,100.0,50
50,119.0,50
50,127.0,50
50,132.0,50
50,137.0,50
54,39.0,54
54,76.0,54
55,48.0,55
55,76.0,55
55,82.0,55
55,125.0,55
56,48.0,56
56,95.0,56
58,37.0,58
58,102.0,58
58,136.0,58
59,1.0,59
62,5.0,62
62,28.0,62
62,50.0,62
62,66.0,62
62,86.0,62
62,111.0,62
62,127.0,62
66,40.0,66
66,50.0,66
66,62.0,66
66,86.0,66
66,100.0,66
66,127.0,66
66,130.0,66
66,132.0,66
67,50.0,67
67,100.0,67
68,118.0,68
69,28.0,69
69,50.0,69
69,100.0,69
69,123.0,69
69,137.0,69
70,7.0,70
70,13.0,70
70,38.0,70
70,78.0,70
70,120.0,70
70,135.0,70
75,30.0,75
75,37.0,75
76,39.0,76
76,48.0,76
76,54.0,76
76,55.0,76
76,82.0,76
76,94.0,76
76,110.0,76
76,125.0,76
78,70.0,78
78,120.0,78
82,48.0,82
82,55.0,82
82,76.0,82
83,96.0,83
83,115.0,83
85,1.0,85
85,97.0,85
86,5.0,86
86,6.0,86
86,28.0,86
86,29.0,86
86,36.0,86
86,40.0,86
86,62.0,86
86,66.0,86
86,94.0,86
86,110.0,86
86,119.0,86
86,136.0,86
86,137.0,86
89,3.0,89
90,38.0,90
91,9.0,91
91,26.0,91
91,33.0,91
94,0.0,94
94,76.0,94
94,86.0,94
94,110.0,94
94,136.0,94
95,48.0,95
95,56.0,95
95,125.0,95
96,83.0,96
96,115.0,96
97,1.0,97
97,85.0,97
98,13.0,98
100,28.0,100
100,29.0,100
100,32.0,100
100,43.0,100
100,50.0,100
100,66.0,100
100,67.0,100
100,69.0,100
100,132.0,100
102,37.0,102
102,58.0,102
106,139.0,106
108,118.0,108
110,6.0,110
110,28.0,110
110,30.0,110
110,36.0,110
110,37.0,110
110,39.0,110
110,76.0,110
110,86.0,110
110,94.0,110
110,119.0,110
110,125.0,110
110,136.0,110
110,137.0,110
111,5.0,111
111,62.0,111
111,127.0,111
114,4.0,114
114,38.0,114
114,121.0,114
115,83.0,115
115,96.0,115
118,17.0,118
118,68.0,118
118,108.0,118
119,6.0,119
119,8.0,119
119,28.0,119
119,30.0,119
119,50.0,119
119,86.0,119
119,110.0,119
120,70.0,120
120,78.0,120
121,4.0,121
121,114.0,121
122,130.0,122
123,5.0,123
123,28.0,123
123,69.0,123
123,137.0,123
125,30.0,125
125,39.0,125
125,48.0,125
125,55.0,125
125,76.0,125
125,95.0,125
125,110.0,125
126,29.0,126
126,33.0,126
126,130.0,126
127,5.0,127
127,28.0,127
127,33.0,127
127,50.0,127
127,62.0,127
127,66.0,127
127,111.0,127
127,132.0,127
127,137.0,127
129,20.0,129
130,29.0,130
130,33.0,130
130,41.0,130
130,66.0,130
130,122.0,130
130,126.0,130
130,132.0,130
132,26.0,132
132,50.0,132
132,66.0,132
132,100.0,132
132,127.0,132
132,130.0,132
134,11.0,134
135,35.0,135
135,70.0,135
136,0.0,136
136,28.0,136
136,46.0,136
136,58.0,136
136,86.0,136
136,94.0,136
136,110.0,136
137,5.0,137
137,28.0,137
137,32.0,137
137,50.0,137
137,69.0,137
137,86.0,137
137,110.0,137
137,123.0,137
137,127.0,137
139,17.0,139
139,106.0,139
141,6.0,141
