,dst,src
0,136,0
0,94,0
0,6,0
0,28,0
0,103,0
1,59,1
1,97,1
1,2,1
1,85,1
1,34,1
2,34,2
2,1,2
2,59,2
2,42,2
2,129,2
3,19,3
3,89,3
3,22,3
3,82,3
3,137,3
4,121,4
4,114,4
4,15,4
4,38,4
4,90,4
5,111,5
5,123,5
5,137,5
5,127,5
5,28,5
6,86,6
6,28,6
6,141,6
6,48,6
6,110,6
7,70,7
7,38,7
7,135,7
7,134,7
7,120,7
8,30,8
8,119,8
8,36,8
8,58,8
8,20,8
9,91,9
9,26,9
9,119,9
9,33,9
9,50,9
10,11,10
10,23,10
10,134,10
10,13,10
10,72,10
11,10,11
11,134,11
11,23,11
11,13,11
11,72,11
12,68,12
12,118,12
12,108,12
12,106,12
12,111,12
13,70,13
13,98,13
13,93,13
13,120,13
13,11,13
14,68,14
14,17,14
14,139,14
14,106,14
14,118,14
15,4,15
15,121,15
15,35,15
15,60,15
15,70,15
16,80,16
16,52,16
16,9,16
16,36,16
16,91,16
17,118,17
17,139,17
17,68,17
17,127,17
17,62,17
18,130,18
18,12,18
18,122,18
18,41,18
18,126,18
19,3,19
19,22,19
19,122,19
19,89,19
19,67,19
20,129,20
20,80,20
20,58,20
20,36,20
20,8,20
21,92,21
21,77,21
21,99,21
21,90,21
21,38,21
22,33,22
22,137,22
22,130,22
22,26,22
22,122,22
23,10,23
23,11,23
23,72,23
23,98,23
23,134,23
24,31,24
24,81,24
24,35,24
24,128,24
24,135,24
25,80,25
25,20,25
25,36,25
25,2,25
25,129,25
26,50,26
26,91,26
26,9,26
26,132,26
26,100,26
27,72,27
27,23,27
27,51,27
27,98,27
27,114,27
28,137,28
28,69,28
28,119,28
28,86,28
28,50,28
29,126,29
29,130,29
29,86,29
29,100,29
29,66,29
30,8,30
30,36,30
30,125,30
30,119,30
30,110,30
31,81,31
31,115,31
31,128,31
31,35,31
31,24,31
32,28,32
32,137,32
32,50,32
32,43,32
32,100,32
33,91,33
33,130,33
33,22,33
33,126,33
33,127,33
34,2,34
34,42,34
34,1,34
34,108,34
34,40,34
35,135,35
35,60,35
35,15,35
35,120,35
35,70,35
36,110,36
36,30,36
36,37,36
36,86,36
36,8,36
37,110,37
37,58,37
37,75,37
37,102,37
37,36,37
38,70,38
38,90,38
38,114,38
38,7,38
38,120,38
39,76,39
39,125,39
39,54,39
39,48,39
39,110,39
40,86,40
40,66,40
40,62,40
40,136,40
40,127,40
41,130,41
41,126,41
41,29,41
41,22,41
41,33,41
42,45,42
42,34,42
42,40,42
42,2,42
42,0,42
43,100,43
43,32,43
43,67,43
43,50,43
43,132,43
44,131,44
44,56,44
44,88,44
44,48,44
44,82,44
45,42,45
45,49,45
45,34,45
45,40,45
45,63,45
46,136,46
46,119,46
46,58,46
46,0,46
46,85,46
47,115,47
47,96,47
47,83,47
47,31,47
47,101,47
48,56,48
48,125,48
48,55,48
48,95,48
48,82,48
49,45,49
49,42,49
49,63,49
49,136,49
