,0,1
0,0,48
1,0,76
2,0,103
3,0,110
4,1,2
5,1,4
6,1,15
7,2,1
8,3,19
9,3,67
10,4,1
11,5,82
12,5,123
13,5,137
14,6,9
15,6,55
16,6,82
17,6,110
18,6,125
19,6,137
20,7,98
21,7,117
22,8,30
23,8,37
24,8,80
25,8,119
26,8,141
27,9,6
28,9,19
29,9,26
30,9,50
31,9,91
32,9,122
33,10,60
34,11,72
35,11,112
36,12,102
37,13,32
38,13,64
39,13,65
40,13,93
41,13,120
42,15,1
43,15,121
44,16,50
45,17,36
46,17,118
47,17,127
48,17,139
49,19,3
50,19,9
51,20,36
52,21,109
53,24,31
54,26,9
55,26,91
56,26,122
57,28,37
58,28,40
59,28,46
60,28,69
61,28,110
62,28,119
63,29,86
64,29,89
65,30,8
66,30,37
67,30,55
68,30,95
69,30,110
70,30,119
71,30,125
72,31,24
73,32,13
74,32,65
75,32,120
76,33,100
77,33,127
78,33,139
79,35,70
80,36,17
81,36,20
82,37,8
83,37,28
84,37,30
85,37,110
86,37,119
87,40,28
88,40,100
89,41,102
90,42,68
91,44,54
92,44,90
93,44,131
94,46,28
95,46,69
96,48,0
97,48,76
98,50,9
99,50,16
100,54,44
101,54,131
102,55,6
103,55,30
104,55,82
105,55,95
106,55,110
107,55,125
108,56,82
109,59,85
110,60,10
111,60,93
112,60,116
113,63,134
114,64,13
115,64,88
116,64,120
117,65,13
118,65,32
119,65,78
120,65,88
121,65,93
122,66,102
123,66,130
124,67,3
125,67,111
126,68,42
127,69,28
128,69,46
129,70,35
130,70,135
131,72,11
132,72,112
133,76,0
134,76,48
135,78,65
136,78,88
137,78,93
138,78,116
139,78,134
140,80,8
141,80,141
142,82,5
143,82,6
144,82,55
145,82,56
146,82,95
147,82,110
148,82,125
149,83,96
150,83,112
151,85,59
152,86,29
153,86,89
154,88,64
155,88,65
156,88,78
157,88,93
158,88,116
159,88,134
160,89,29
161,89,86
162,90,44
163,90,98
164,90,131
165,91,9
166,91,26
167,91,122
168,93,13
169,93,60
170,93,65
171,93,78
172,93,88
173,93,116
174,95,30
175,95,55
176,95,82
177,95,125
178,96,83
179,98,7
180,98,90
181,98,131
182,98,135
183,100,33
184,100,40
185,100,111
186,100,137
187,102,12
188,102,41
189,102,66
190,102,130
191,103,0
192,103,124
193,104,129
194,109,21
195,110,0
196,110,6
197,110,28
198,110,30
199,110,37
200,110,55
201,110,82
202,110,119
203,110,125
204,110,137
205,111,67
206,111,100
207,111,122
208,112,11
209,112,72
210,112,83
211,113,126
212,116,60
213,116,78
214,116,88
215,116,93
216,117,7
217,118,17
218,119,8
219,119,28
220,119,30
221,119,37
222,119,110
223,119,125
224,119,127
225,120,13
226,120,32
227,120,64
228,121,15
229,122,9
230,122,26
231,122,91
232,122,111
233,123,5
234,123,137
235,124,103
236,125,6
237,125,30
238,125,55
239,125,82
240,125,95
241,125,110
242,125,119
243,126,113
244,127,17
245,127,33
246,127,119
247,127,139
248,129,104
249,130,66
250,130,102
251,131,44
252,131,54
253,131,90
254,131,98
255,134,63
256,134,78
257,134,88
258,135,70
259,135,98
260,137,5
261,137,6
262,137,100
263,137,110
264,137,123
265,139,17
266,139,33
267,139,127
268,141,8
269,141,80
