,0,1
0,0,136
1,0,94
2,0,6
3,0,28
4,0,103
5,1,59
6,1,97
7,1,2
8,1,85
9,1,34
10,2,34
11,2,1
12,2,59
13,2,42
14,2,129
15,3,19
16,3,89
17,3,22
18,3,82
19,3,137
20,4,121
21,4,114
22,4,15
23,4,38
24,4,90
25,5,111
26,5,123
27,5,137
28,5,127
29,5,28
30,6,86
31,6,28
32,6,141
33,6,48
34,6,110
35,7,70
36,7,38
37,7,135
38,7,134
39,7,120
40,8,30
41,8,119
42,8,36
43,8,58
44,8,20
45,9,91
46,9,26
47,9,119
48,9,33
49,9,50
50,10,11
51,10,23
52,10,134
53,10,13
54,10,72
55,11,10
56,11,134
57,11,23
58,11,13
59,11,72
60,12,68
61,12,118
62,12,108
63,12,106
64,12,111
65,13,70
66,13,98
67,13,93
68,13,120
69,13,11
70,14,68
71,14,17
72,14,139
73,14,106
74,14,118
75,15,4
76,15,121
77,15,35
78,15,60
79,15,70
80,16,80
81,16,52
82,16,9
83,16,36
84,16,91
85,17,118
86,17,139
87,17,68
88,17,127
89,17,62
90,18,130
91,18,12
92,18,122
93,18,41
94,18,126
95,19,3
96,19,22
97,19,122
98,19,89
99,19,67
100,20,129
101,20,80
102,20,58
103,20,36
104,20,8
105,21,92
106,21,77
107,21,99
108,21,90
109,21,38
110,22,33
111,22,137
112,22,130
113,22,26
114,22,122
115,23,10
116,23,11
117,23,72
118,23,98
119,23,134
120,24,31
121,24,81
122,24,35
123,24,128
124,24,135
125,25,80
126,25,20
127,25,36
128,25,2
129,25,129
130,26,50
131,26,91
132,26,9
133,26,132
134,26,100
135,27,72
136,27,23
137,27,51
138,27,98
139,27,114
140,28,137
141,28,69
142,28,119
143,28,86
144,28,50
145,29,126
146,29,130
147,29,86
148,29,100
149,29,66
150,30,8
151,30,36
152,30,125
153,30,119
154,30,110
155,31,81
156,31,115
157,31,128
158,31,35
159,31,24
160,32,28
161,32,137
162,32,50
163,32,43
164,32,100
165,33,91
166,33,130
167,33,22
168,33,126
169,33,127
170,34,2
171,34,42
172,34,1
173,34,108
174,34,40
175,35,135
176,35,60
177,35,15
178,35,120
179,35,70
180,36,110
181,36,30
182,36,37
183,36,86
184,36,8
185,37,110
186,37,58
187,37,75
188,37,102
189,37,36
190,38,70
191,38,90
192,38,114
193,38,7
194,38,120
195,39,76
196,39,125
197,39,54
198,39,48
199,39,110
200,40,86
201,40,66
202,40,62
203,40,136
204,40,127
205,41,130
206,41,126
207,41,29
208,41,22
209,41,33
210,42,45
211,42,34
212,42,40
213,42,2
214,42,0
215,43,100
216,43,32
217,43,67
218,43,50
219,43,132
220,44,131
221,44,56
222,44,88
223,44,48
224,44,82
225,45,42
226,45,49
227,45,34
228,45,40
229,45,63
230,46,136
231,46,119
232,46,58
233,46,0
234,46,85
235,47,115
236,47,96
237,47,83
238,47,31
239,47,101
240,48,56
241,48,125
242,48,55
243,48,95
244,48,82
245,49,45
246,49,42
247,49,63
248,49,136
249,49,40
250,50,100
251,50,67
252,50,28
253,50,119
254,50,62
255,51,27
256,51,23
257,51,60
258,51,64
259,51,10
260,52,36
261,52,16
262,52,30
263,52,80
264,52,8
265,53,74
266,53,73
267,53,71
268,53,87
269,53,107
270,54,76
271,54,39
272,54,56
273,54,65
274,54,82
275,55,82
276,55,48
277,55,125
278,55,76
279,55,39
280,56,48
281,56,95
282,56,125
283,56,76
284,56,82
285,57,7
286,57,38
287,57,21
288,57,77
289,57,90
290,58,37
291,58,102
292,58,136
293,58,110
294,58,46
295,59,1
296,59,2
297,59,112
298,59,108
299,59,102
300,60,35
301,60,135
302,60,15
303,60,13
304,60,11
305,61,87
306,61,59
307,61,84
308,61,94
309,61,1
310,62,127
311,62,66
312,62,50
313,62,111
314,62,28
315,63,124
316,63,85
317,63,97
318,63,131
319,63,49
320,64,98
321,64,114
322,64,13
323,64,99
324,64,93
325,65,54
326,65,88
327,65,56
328,65,117
329,65,82
330,66,132
331,66,127
332,66,62
333,66,100
334,66,130
335,67,50
336,67,100
337,67,32
338,67,26
339,67,43
340,68,118
341,68,112
342,68,17
343,68,12
344,68,108
345,69,28
346,69,123
347,69,100
348,69,50
349,69,137
350,70,38
351,70,120
352,70,13
353,70,135
354,70,7
355,71,73
356,71,84
357,71,45
358,71,43
359,71,42
360,72,23
361,72,11
362,72,98
363,72,27
364,72,114
365,73,131
366,73,117
367,73,71
368,73,74
369,73,84
370,74,87
371,74,61
372,74,73
373,74,131
374,74,53
375,75,37
376,75,30
377,75,95
378,75,110
379,75,125
380,76,39
381,76,54
382,76,125
383,76,48
384,76,82
385,77,38
386,77,114
387,77,90
388,77,70
389,77,4
390,78,120
391,78,70
392,78,13
393,78,38
394,78,134
395,79,59
396,79,108
397,79,1
398,79,112
399,79,84
400,80,20
401,80,16
402,80,52
403,80,36
404,80,25
405,81,31
406,81,35
407,81,135
408,81,128
409,81,70
410,82,55
411,82,48
412,82,76
413,82,89
414,82,125
415,83,96
416,83,115
417,83,15
418,83,35
419,83,47
420,84,107
421,84,59
422,84,94
423,84,12
424,84,102
425,85,97
426,85,1
427,85,46
428,85,136
429,85,58
430,86,110
431,86,6
432,86,28
433,86,94
434,86,66
435,87,61
436,87,129
437,87,85
438,87,94
439,87,102
440,88,131
441,88,65
442,88,124
443,88,44
444,88,56
445,89,3
446,89,82
447,89,76
448,89,39
449,89,137
450,90,38
451,90,114
452,90,4
453,90,121
454,90,78
455,91,33
456,91,9
457,91,26
458,91,50
459,91,126
460,92,21
461,92,101
462,92,81
463,92,99
464,92,77
465,93,13
466,93,98
467,93,64
468,93,134
469,93,120
470,94,86
471,94,136
472,94,110
473,94,0
474,94,76
475,95,125
476,95,48
477,95,56
478,95,39
479,95,30
480,96,83
481,96,115
482,96,47
483,96,15
484,96,35
485,97,1
486,97,85
487,97,59
488,97,63
489,97,112
490,98,13
491,98,70
492,98,64
493,98,114
494,98,93
495,99,64
496,99,13
497,99,120
498,99,93
499,99,70
500,100,50
501,100,132
502,100,67
503,100,66
504,100,43
505,101,47
506,101,31
507,101,92
508,101,115
509,101,81
510,102,37
511,102,58
512,102,110
513,102,94
514,102,86
515,103,0
516,103,28
517,103,136
518,103,56
519,103,69
520,104,129
521,104,20
522,104,2
523,104,34
524,104,80
525,105,121
526,105,4
527,105,15
528,105,133
529,105,47
530,106,139
531,106,127
532,106,118
533,106,66
534,106,62
535,107,84
536,107,113
537,107,41
538,107,130
539,107,36
540,108,118
541,108,59
542,108,68
543,108,34
544,108,112
545,109,12
546,109,18
547,109,68
548,109,108
549,109,118
550,110,86
551,110,37
552,110,36
553,110,28
554,110,94
555,111,5
556,111,127
557,111,62
558,111,123
559,111,137
560,112,68
561,112,59
562,112,118
563,112,1
564,112,108
565,113,36
566,113,107
567,113,80
568,113,52
569,113,130
570,114,4
571,114,38
572,114,121
573,114,90
574,114,64
575,115,96
576,115,83
577,115,47
578,115,31
579,115,15
580,116,32
581,116,124
582,116,62
583,116,40
584,116,43
585,117,65
586,117,54
587,117,43
588,117,55
589,117,82
590,118,108
591,118,17
592,118,68
593,118,106
594,118,127
595,119,28
596,119,50
597,119,30
598,119,6
599,119,8
600,120,70
601,120,78
602,120,13
603,120,38
604,120,135
605,121,4
606,121,114
607,121,15
608,121,90
609,121,38
610,122,130
611,122,22
612,122,132
613,122,33
614,122,100
615,123,137
616,123,5
617,123,28
618,123,69
619,123,111
620,124,63
621,124,103
622,124,88
623,124,116
624,124,46
625,125,48
626,125,95
627,125,39
628,125,76
629,125,30
630,126,130
631,126,29
632,126,33
633,126,132
634,126,41
635,127,62
636,127,66
637,127,111
638,127,5
639,127,50
640,128,31
641,128,81
642,128,135
643,128,120
644,128,35
645,129,20
646,129,104
647,129,2
648,129,34
649,129,1
650,130,126
651,130,33
652,130,132
653,130,66
654,130,29
655,131,44
656,131,88
657,131,54
658,131,63
659,131,124
660,132,66
661,132,100
662,132,130
663,132,50
664,132,127
665,133,121
666,133,15
667,133,114
668,133,4
669,133,72
670,134,11
671,134,13
672,134,10
673,134,78
674,134,70
675,135,35
676,135,70
677,135,120
678,135,13
679,135,7
680,136,94
681,136,46
682,136,0
683,136,110
684,136,58
685,137,123
686,137,5
687,137,28
688,137,32
689,137,110
690,138,95
691,138,55
692,138,125
693,138,52
694,138,39
695,139,106
696,139,17
697,139,132
698,139,127
699,139,66
700,140,102
701,140,41
702,140,132
703,140,130
704,140,58
705,141,6
706,141,30
707,141,86
708,141,119
709,141,62
