,0,1
0,5,28
1,6,9
2,9,6
3,10,11
4,11,10
5,14,17
6,17,14
7,18,26
8,24,31
9,26,18
10,26,33
11,28,5
12,28,32
13,29,36
14,31,24
15,32,28
16,33,26
17,33,50
18,36,29
19,50,33
20,76,82
21,76,86
22,82,76
23,82,89
24,86,76
25,89,82
26,100,111
27,100,122
28,100,132
29,103,116
30,103,124
31,107,113
32,108,118
33,111,100
34,111,132
35,113,107
36,116,103
37,116,124
38,118,108
39,122,100
40,122,130
41,123,127
42,123,137
43,124,103
44,124,116
45,127,123
46,127,132
47,127,137
48,127,139
49,130,122
50,130,132
51,132,100
52,132,111
53,132,127
54,132,130
55,132,137
56,132,139
57,137,123
58,137,127
59,137,132
60,139,127
61,139,132
