,0,1
0,3,19
1,6,8
2,6,30
3,8,6
4,8,30
5,8,36
6,9,22
7,9,26
8,10,11
9,11,10
10,13,32
11,18,24
12,18,31
13,19,3
14,19,26
15,20,37
16,22,9
17,22,26
18,22,33
19,22,50
20,24,18
21,24,31
22,26,9
23,26,19
24,26,22
25,28,46
26,29,41
27,30,6
28,30,8
29,30,36
30,31,18
31,31,24
32,32,13
33,33,22
34,33,50
35,36,8
36,36,30
37,37,20
38,38,44
39,38,54
40,41,29
41,44,38
42,46,28
43,48,76
44,48,82
45,50,22
46,50,33
47,54,38
48,55,82
49,62,66
50,66,62
51,71,92
52,76,48
53,76,82
54,82,48
55,82,55
56,82,76
57,82,86
58,83,96
59,83,115
60,84,107
61,86,82
62,90,131
63,91,122
64,92,71
65,93,117
66,95,141
67,96,83
68,96,115
69,100,111
70,100,132
71,103,116
72,103,134
73,107,84
74,108,118
75,111,100
76,111,132
77,111,139
78,113,126
79,115,83
80,115,96
81,116,103
82,117,93
83,118,108
84,119,125
85,119,127
86,122,91
87,123,137
88,125,119
89,126,113
90,126,127
91,127,119
92,127,126
93,130,132
94,131,90
95,132,100
96,132,111
97,132,130
98,132,139
99,134,103
100,137,123
101,139,111
102,139,132
103,141,95
