,0,1
0,0,94
1,1,59
2,1,97
3,2,34
4,3,19
5,3,89
6,4,114
7,4,121
8,5,28
9,5,86
10,5,111
11,5,123
12,5,127
13,5,137
14,6,28
15,6,30
16,6,48
17,6,86
18,6,141
19,7,70
20,8,30
21,9,26
22,9,91
23,10,11
24,11,10
25,11,134
26,13,70
27,19,3
28,20,129
29,22,33
30,26,9
31,26,50
32,26,132
33,28,5
34,28,6
35,28,32
36,28,62
37,28,69
38,28,86
39,28,110
40,28,119
41,28,123
42,28,127
43,28,137
44,29,126
45,29,130
46,30,6
47,30,8
48,30,36
49,30,110
50,30,119
51,30,125
52,32,28
53,32,137
54,33,22
55,33,91
56,33,126
57,33,127
58,33,130
59,34,2
60,36,30
61,36,110
62,37,58
63,37,75
64,37,102
65,37,110
66,38,70
67,38,90
68,38,114
69,39,76
70,39,125
71,43,100
72,46,136
73,48,6
74,48,55
75,48,56
76,48,76
77,48,82
78,48,95
79,48,125
80,50,26
81,50,62
82,50,66
83,50,67
84,50,100
85,50,119
86,50,132
87,55,48
88,55,82
89,56,48
90,58,37
91,58,102
92,59,1
93,59,112
94,62,28
95,62,50
96,62,66
97,62,111
98,62,127
99,66,50
100,66,62
101,66,100
102,66,127
103,66,130
104,66,132
105,67,50
106,67,100
107,69,28
108,69,123
109,70,7
110,70,13
111,70,38
112,70,120
113,70,135
114,75,37
115,76,39
116,76,48
117,76,82
118,76,94
119,76,125
120,78,120
121,82,48
122,82,55
123,82,76
124,83,96
125,83,115
126,85,97
127,86,5
128,86,6
129,86,28
130,86,94
131,86,110
132,86,137
133,89,3
134,90,38
135,91,9
136,91,33
137,94,0
138,94,76
139,94,86
140,94,110
141,94,136
142,95,48
143,95,125
144,96,83
145,96,115
146,97,1
147,97,85
148,100,43
149,100,50
150,100,66
151,100,67
152,100,132
153,102,37
154,102,58
155,106,127
156,106,139
157,108,118
158,110,28
159,110,30
160,110,36
161,110,37
162,110,86
163,110,94
164,110,125
165,111,5
166,111,62
167,111,127
168,112,59
169,114,4
170,114,38
171,115,83
172,115,96
173,118,108
174,119,28
175,119,30
176,119,50
177,120,70
178,120,78
179,121,4
180,123,5
181,123,28
182,123,69
183,123,137
184,125,30
185,125,39
186,125,48
187,125,76
188,125,95
189,125,110
190,126,29
191,126,33
192,126,130
193,127,5
194,127,28
195,127,33
196,127,62
197,127,66
198,127,106
199,127,111
200,127,137
201,129,20
202,130,29
203,130,33
204,130,66
205,130,126
206,130,132
207,132,26
208,132,50
209,132,66
210,132,100
211,132,130
212,134,11
213,135,70
214,136,46
215,136,94
216,137,5
217,137,28
218,137,32
219,137,86
220,137,123
221,137,127
222,139,106
223,141,6
