,0,1
0,0,1
1,1,0
2,2,25
3,3,19
4,4,15
5,5,6
6,5,28
7,5,32
8,5,50
9,6,5
10,6,9
11,6,19
12,6,29
13,7,10
14,7,11
15,8,20
16,8,30
17,9,6
18,9,19
19,9,29
20,9,33
21,10,7
22,10,11
23,10,13
24,11,7
25,11,10
26,11,13
27,13,10
28,13,11
29,13,15
30,14,17
31,15,4
32,15,13
33,16,52
34,17,14
35,17,18
36,18,17
37,18,26
38,18,33
39,19,3
40,19,6
41,19,9
42,20,8
43,20,37
44,22,26
45,22,33
46,22,50
47,24,31
48,25,2
49,26,18
50,26,22
51,26,29
52,26,33
53,26,50
54,28,5
55,28,32
56,28,50
57,29,6
58,29,9
59,29,26
60,29,33
61,29,36
62,30,8
63,30,36
64,30,37
65,31,24
66,31,35
67,32,5
68,32,28
69,32,43
70,33,9
71,33,18
72,33,22
73,33,26
74,33,29
75,33,36
76,33,50
77,35,31
78,36,29
79,36,30
80,36,33
81,36,37
82,36,41
83,37,20
84,37,30
85,37,36
86,38,64
87,41,36
88,42,45
89,43,32
90,45,42
91,45,53
92,48,55
93,48,56
94,48,76
95,48,82
96,50,5
97,50,22
98,50,26
99,50,28
100,50,33
101,50,66
102,50,67
103,52,16
104,52,55
105,53,45
106,54,56
107,55,48
108,55,52
109,55,82
110,55,89
111,55,95
112,56,48
113,56,54
114,56,65
115,56,76
116,59,85
117,63,88
118,64,38
119,64,90
120,65,56
121,65,117
122,66,50
123,66,68
124,66,100
125,66,111
126,67,50
127,67,69
128,68,66
129,69,67
130,70,78
131,75,80
132,76,48
133,76,56
134,76,82
135,76,86
136,76,89
137,78,70
138,80,75
139,81,83
140,82,48
141,82,55
142,82,76
143,82,86
144,82,89
145,82,95
146,83,81
147,83,96
148,83,115
149,84,102
150,85,59
151,85,87
152,85,97
153,85,118
154,86,76
155,86,82
156,86,89
157,86,95
158,86,119
159,87,85
160,88,63
161,89,55
162,89,76
163,89,82
164,89,86
165,89,95
166,90,64
167,90,114
168,90,121
169,91,111
170,91,122
171,91,126
172,92,99
173,94,103
174,94,110
175,94,136
176,95,55
177,95,82
178,95,86
179,95,89
180,95,119
181,95,141
182,96,83
183,96,115
184,97,85
185,99,92
186,100,66
187,100,111
188,100,122
189,100,127
190,100,130
191,100,132
192,100,137
193,102,84
194,102,127
195,102,139
196,103,94
197,103,116
198,103,124
199,104,129
200,106,127
201,106,132
202,106,139
203,107,113
204,108,118
205,110,94
206,110,119
207,110,125
208,110,130
209,110,136
210,110,137
211,111,66
212,111,91
213,111,100
214,111,122
215,111,127
216,111,130
217,111,132
218,111,137
219,111,139
220,113,107
221,113,126
222,113,130
223,114,90
224,115,83
225,115,96
226,116,103
227,116,117
228,116,124
229,117,65
230,117,116
231,117,124
232,118,85
233,118,108
234,119,86
235,119,95
236,119,110
237,119,125
238,119,126
239,119,130
240,119,137
241,120,128
242,120,135
243,121,90
244,122,91
245,122,100
246,122,111
247,122,130
248,122,132
249,122,139
250,123,127
251,123,132
252,123,136
253,123,137
254,124,103
255,124,116
256,124,117
257,125,110
258,125,119
259,125,136
260,125,137
261,125,141
262,126,91
263,126,113
264,126,119
265,126,130
266,127,100
267,127,102
268,127,106
269,127,111
270,127,123
271,127,130
272,127,132
273,127,137
274,127,139
275,128,120
276,128,135
277,129,104
278,130,100
279,130,110
280,130,111
281,130,113
282,130,119
283,130,122
284,130,126
285,130,127
286,130,132
287,130,137
288,130,139
289,132,100
290,132,106
291,132,111
292,132,122
293,132,123
294,132,127
295,132,130
296,132,137
297,132,139
298,134,135
299,135,120
300,135,128
301,135,134
302,136,94
303,136,110
304,136,123
305,136,125
306,136,137
307,137,100
308,137,110
309,137,111
310,137,119
311,137,123
312,137,125
313,137,127
314,137,130
315,137,132
316,137,136
317,138,141
318,139,102
319,139,106
320,139,111
321,139,122
322,139,127
323,139,130
324,139,132
325,141,95
326,141,125
327,141,138
