,dst,src
0,0,5
1,0,6
2,0,28
3,0,30
4,0,37
5,0,40
6,0,46
7,0,48
8,0,49
9,0,55
10,0,56
11,0,76
12,0,82
13,0,103
14,0,110
15,0,123
16,0,125
17,0,137
18,1,2
19,1,4
20,1,15
21,1,105
22,1,114
23,1,121
24,2,1
25,2,15
26,2,105
27,2,121
28,3,5
29,3,6
30,3,9
31,3,19
32,3,26
33,3,67
34,3,82
35,3,137
36,4,1
37,4,15
38,4,47
39,4,133
40,5,0
41,5,3
42,5,6
43,5,28
44,5,55
45,5,56
46,5,62
47,5,82
48,5,103
49,5,110
50,5,111
51,5,123
52,5,137
53,6,0
54,6,3
55,6,5
56,6,8
57,6,9
58,6,28
59,6,30
60,6,33
61,6,37
62,6,40
63,6,50
64,6,55
65,6,56
66,6,82
67,6,95
68,6,100
69,6,110
70,6,111
71,6,119
72,6,122
73,6,123
74,6,125
75,6,137
76,7,90
77,7,98
78,7,117
79,7,128
80,7,131
81,7,135
82,8,6
83,8,17
84,8,20
85,8,28
86,8,30
87,8,36
88,8,37
89,8,40
90,8,46
91,8,75
92,8,80
93,8,110
94,8,119
95,8,127
96,8,141
97,9,3
98,9,6
99,9,16
100,9,19
101,9,26
102,9,50
103,9,55
104,9,67
105,9,82
106,9,91
107,9,111
108,9,122
109,9,137
110,10,11
111,10,60
112,10,112
113,11,10
114,11,60
115,11,72
116,11,83
117,11,112
118,12,66
119,12,102
120,12,130
121,13,32
122,13,60
123,13,63
124,13,64
125,13,65
126,13,78
127,13,88
128,13,93
129,13,116
130,13,120
131,13,134
132,14,17
133,14,36
134,14,106
135,14,118
136,14,139
137,15,1
138,15,2
139,15,4
140,15,114
141,15,121
142,16,9
143,16,50
144,16,95
145,17,8
146,17,14
147,17,20
148,17,33
149,17,36
150,17,40
151,17,100
152,17,106
153,17,108
154,17,118
155,17,127
156,17,139
157,18,35
158,18,115
159,19,3
160,19,9
161,19,26
162,19,50
163,19,67
164,19,82
165,19,91
166,20,8
167,20,17
168,20,36
169,20,80
170,20,108
171,20,127
172,20,141
173,21,79
174,21,101
175,21,109
176,22,29
177,22,66
178,22,89
179,22,113
180,22,126
181,22,130
182,23,60
183,23,63
184,23,78
185,23,88
186,23,116
187,23,134
188,24,31
189,24,96
190,24,132
191,25,34
192,25,59
193,25,84
194,25,104
195,25,107
196,25,129
197,26,3
198,26,9
199,26,19
200,26,33
201,26,50
202,26,67
203,26,91
204,26,111
205,26,122
206,26,137
207,27,71
208,28,0
209,28,5
210,28,6
211,28,8
212,28,30
213,28,37
214,28,40
215,28,46
216,28,56
217,28,69
218,28,76
219,28,82
220,28,100
221,28,103
222,28,110
223,28,119
224,28,123
225,28,124
226,28,125
227,28,137
228,29,22
229,29,52
230,29,86
231,29,89
232,30,0
233,30,6
234,30,8
235,30,28
