,dst,src
0,33.0,0
0,58.0,0
0,84.0,0
0,101.0,0
1,24.0,1
1,128.0,1
3,120.0,3
4,27.0,4
4,31.0,4
4,49.0,4
4,65.0,4
4,66.0,4
4,68.0,4
4,99.0,4
4,110.0,4
4,122.0,4
4,131.0,4
4,136.0,4
5,8.0,5
5,49.0,5
5,136.0,5
7,19.0,7
7,29.0,7
7,74.0,7
7,118.0,7
8,5.0,8
8,90.0,8
9,10.0,9
9,59.0,9
9,97.0,9
10,9.0,10
10,133.0,10
11,67.0,11
12,69.0,12
12,119.0,12
12,134.0,12
13,16.0,13
15,51.0,15
15,140.0,15
16,13.0,16
16,67.0,16
17,25.0,17
19,7.0,19
19,74.0,19
23,30.0,23
24,1.0,24
24,128.0,24
25,17.0,25
25,32.0,25
25,90.0,25
25,138.0,25
27,4.0,27
27,31.0,27
27,49.0,27
27,85.0,27
27,122.0,27
27,136.0,27
28,35.0,28
28,112.0,28
28,125.0,28
28,129.0,28
29,7.0,29
29,74.0,29
29,85.0,29
29,94.0,29
29,118.0,29
29,124.0,29
30,23.0,30
31,4.0,31
31,27.0,31
31,136.0,31
32,25.0,32
32,49.0,32
32,65.0,32
32,90.0,32
32,110.0,32
32,125.0,32
32,126.0,32
32,129.0,32
33,0.0,33
33,101.0,33
35,28.0,35
35,36.0,35
35,118.0,35
35,125.0,35
36,35.0,36
36,74.0,36
37,63.0,37
37,89.0,37
39,61.0,39
43,130.0,43
47,75.0,47
47,81.0,47
47,88.0,47
49,4.0,49
49,5.0,49
49,27.0,49
49,32.0,49
49,65.0,49
49,66.0,49
49,90.0,49
49,99.0,49
49,110.0,49
49,122.0,49
49,126.0,49
49,129.0,49
49,131.0,49
49,136.0,49
51,15.0,51
51,94.0,51
51,140.0,51
53,75.0,53
54,75.0,54
54,81.0,54
54,88.0,54
54,94.0,54
58,0.0,58
58,84.0,58
58,96.0,58
59,9.0,59
59,92.0,59
59,97.0,59
61,39.0,61
62,87.0,62
63,37.0,63
63,133.0,63
65,4.0,65
65,32.0,65
65,49.0,65
65,99.0,65
65,110.0,65
65,126.0,65
65,129.0,65
65,131.0,65
66,4.0,66
66,49.0,66
66,68.0,66
66,99.0,66
66,110.0,66
66,131.0,66
66,136.0,66
67,11.0,67
67,16.0,67
67,138.0,67
68,4.0,68
68,66.0,68
68,122.0,68
69,12.0,69
69,134.0,69
74,7.0,74
74,19.0,74
74,29.0,74
74,36.0,74
75,47.0,75
75,53.0,75
75,54.0,75
75,81.0,75
75,85.0,75
75,109.0,75
81,47.0,81
81,54.0,81
81,75.0,81
81,88.0,81
82,114.0,82
84,0.0,84
84,58.0,84
84,96.0,84
85,27.0,85
85,29.0,85
85,75.0,85
85,94.0,85
85,118.0,85
85,124.0,85
85,135.0,85
85,136.0,85
87,62.0,87
87,123.0,87
88,47.0,88
88,54.0,88
88,81.0,88
89,37.0,89
89,120.0,89
90,8.0,90
90,25.0,90
90,32.0,90
90,49.0,90
90,129.0,90
92,59.0,92
93,135.0,93
94,29.0,94
94,51.0,94
94,54.0,94
94,85.0,94
94,118.0,94
94,124.0,94
94,140.0,94
96,58.0,96
96,84.0,96
97,9.0,97
97,59.0,97
99,4.0,99
99,49.0,99
99,65.0,99
99,66.0,99
99,110.0,99
99,129.0,99
99,131.0,99
99,136.0,99
101,0.0,101
101,33.0,101
102,115.0,102
102,123.0,102
107,117.0,107
109,75.0,109
110,4.0,110
110,32.0,110
110,49.0,110
110,65.0,110
110,66.0,110
110,99.0,110
110,131.0,110
112,28.0,112
112,125.0,112
114,82.0,114
115,102.0,115
117,107.0,117
118,7.0,118
118,29.0,118
118,35.0,118
118,85.0,118
118,94.0,118
119,12.0,119
120,3.0,120
120,89.0,120
121,129.0,121
122,4.0,122
122,27.0,122
122,49.0,122
122,68.0,122
122,136.0,122
123,87.0,123
123,102.0,123
124,29.0,124
124,85.0,124
124,94.0,124
124,140.0,124
125,28.0,125
125,32.0,125
125,35.0,125
125,112.0,125
126,32.0,126
126,49.0,126
126,65.0,126
126,131.0,126
128,1.0,128
128,24.0,128
129,28.0,129
129,32.0,129
129,49.0,129
129,65.0,129
129,90.0,129
129,99.0,129
129,121.0,129
129,131.0,129
130,43.0,130
131,4.0,131
131,49.0,131
131,65.0,131
131,66.0,131
131,99.0,131
131,110.0,131
131,126.0,131
131,129.0,131
133,10.0,133
133,63.0,133
134,12.0,134
134,69.0,134
135,85.0,135
135,93.0,135
136,4.0,136
136,5.0,136
136,27.0,136
136,31.0,136
136,49.0,136
136,66.0,136
136,85.0,136
136,99.0,136
136,122.0,136
138,25.0,138
138,67.0,138
140,15.0,140
140,51.0,140
140,94.0,140
140,124.0,140
