,dst,src
0,33,0
0,84,0
0,58,0
0,101,0
0,96,0
1,128,1
1,24,1
1,33,1
1,74,1
1,35,1
2,18,2
2,88,2
2,81,2
2,42,2
2,109,2
3,120,3
3,89,3
3,113,3
3,77,3
3,133,3
4,49,4
4,110,4
4,99,4
4,66,4
4,131,4
5,49,5
5,8,5
5,136,5
5,31,5
5,27,5
6,133,6
6,134,6
6,37,6
6,10,6
6,63,6
7,118,7
7,29,7
7,74,7
7,19,7
7,36,7
8,5,8
8,90,8
8,28,8
8,21,8
8,32,8
9,10,9
9,59,9
9,97,9
9,92,9
9,133,9
10,9,10
10,133,10
10,12,10
10,97,10
10,92,10
11,67,11
11,17,11
11,138,11
11,131,11
11,105,11
12,134,12
12,119,12
12,69,12
12,59,12
12,10,12
13,16,13
13,139,13
13,67,13
13,138,13
13,105,13
14,95,14
14,12,14
14,119,14
14,82,14
14,71,14
15,51,15
15,140,15
15,94,15
15,54,15
15,88,15
16,13,16
16,67,16
16,138,16
16,105,16
16,126,16
17,25,17
17,138,17
17,11,17
17,67,17
17,40,17
18,88,18
18,81,18
18,8,18
18,2,18
18,42,18
19,74,19
19,7,19
19,79,19
19,29,19
19,118,19
20,91,20
20,100,20
20,80,20
20,46,20
20,26,20
21,32,21
21,90,21
21,28,21
21,49,21
21,136,21
22,9,22
22,10,22
22,37,22
22,133,22
22,71,22
23,30,23
23,114,23
23,80,23
23,82,23
23,34,23
24,128,24
24,1,24
24,33,24
24,103,24
24,0,24
25,90,25
25,32,25
25,138,25
25,17,25
25,110,25
26,91,26
26,97,26
26,113,26
26,98,26
26,132,26
27,136,27
27,122,27
27,31,27
27,4,27
27,49,27
28,35,28
28,129,28
28,125,28
28,112,28
28,21,28
29,118,29
29,7,29
29,74,29
29,85,29
29,94,29
30,23,30
30,34,30
30,80,30
30,114,30
30,82,30
31,27,31
31,136,31
31,4,31
31,49,31
31,5,31
32,90,32
32,49,32
32,129,32
32,25,32
32,65,32
33,0,33
33,101,33
33,84,33
33,24,33
33,128,33
34,30,34
34,80,34
34,69,34
34,119,34
34,23,34
35,28,35
35,125,35
35,36,35
35,118,35
35,29,35
36,35,36
36,74,36
36,7,36
36,29,36
36,118,36
37,89,37
37,63,37
37,133,37
37,113,37
37,6,37
38,86,38
38,60,38
38,137,38
38,135,38
38,93,38
39,61,39
39,126,39
39,65,39
39,102,39
39,135,39
40,125,40
40,28,40
40,35,40
40,32,40
40,17,40
41,44,41
41,96,41
41,60,41
41,0,41
41,86,41
42,99,42
42,121,42
42,66,42
42,110,42
42,4,42
43,130,43
43,48,43
43,53,43
43,87,43
43,62,43
44,41,44
44,78,44
44,52,44
44,70,44
44,96,44
45,135,45
45,102,45
45,93,45
45,123,45
45,61,45
46,100,46
46,95,46
46,114,46
46,80,46
46,82,46
47,81,47
47,75,47
47,88,47
47,85,47
47,136,47
48,43,48
48,73,48
48,38,48
48,130,48
48,53,48
49,4,49
49,110,49
49,136,49
49,131,49
49,32,49
50,59,50
50,82,50
50,23,50
50,34,50
50,80,50
51,140,51
51,94,51
51,15,51
51,29,51
51,54,51
52,44,52
52,57,52
